geography,variable,metric,data_year,estimate,geography_type,moe,share,share_moe,grouping
Pierce Transit,Bus,boardings_per_hour,2007,23.38,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2008,14985550,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2008,7481481,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2008,600775,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2008,24.94,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2009,14251052,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2009,7258577,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2009,579247,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2009,24.6,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2010,14124784,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2010,6958268,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2010,556689,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2010,25.37,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2011,12149043,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2011,5505120,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2011,451470,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2011,26.91,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2012,10575749,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2012,4366502,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2012,378197,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2012,27.96,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2013,10344992,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2013,4287953,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2013,372284,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2013,27.79,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2014,10231241,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2014,4401267,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2014,385008,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2014,26.57,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2015,9104336,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2015,4411207,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2015,388735,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2015,23.42,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2016,8588447,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2016,4534746,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2016,399839,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2016,21.48,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2017,8543157,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2017,4903678,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2017,428267,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2017,19.95,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2018,8654242,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2018,5002372,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2018,446429,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2018,19.39,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2019,8376891,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2019,5019818,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2019,444082,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2019,18.86,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2020,4755960,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2020,4271293,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2020,388929,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2020,12.23,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2021,4363241,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2021,4558354,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2021,407561,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2021,10.71,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Boardings,2022,3624494,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Miles,2022,3111557,PSRC Region,0,0,0,All
Pierce Transit,Bus,Transit Revenue-Hours,2022,281174,PSRC Region,0,0,0,All
Pierce Transit,Bus,boardings_per_hour,2022,12.89,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2002,594030,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2002,3220535,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2002,68774,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2002,8.64,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2003,639621,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2003,3438381,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2003,81413,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2003,7.86,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2004,692097,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2004,3748563,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2004,99548,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2004,6.95,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2005,734389,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2005,3868965,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2005,103175,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2005,7.12,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2006,813889,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2006,4178168,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2006,114697,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2006,7.1,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2007,782079,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2007,4113366,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2007,143954,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2007,5.43,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2008,850373,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2008,4276611,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2008,145998,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2008,5.82,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2009,848393,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2009,4476756,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2009,134962,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2009,6.29,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2010,824382,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2010,4559572,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2010,138065,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2010,5.97,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2011,859692,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2011,4669006,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2011,140543,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2011,6.12,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2012,876852,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2012,4718159,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2012,140413,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2012,6.24,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2013,926442,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2013,4869744,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2013,144408,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2013,6.42,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2014,906640,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2014,4708917,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2014,140258,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2014,6.46,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2015,849159,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2015,4580153,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2015,143234,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2015,5.93,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2016,828348,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2016,4707552,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2016,146880,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2016,5.64,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2017,810383,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2017,4771217,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2017,147103,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2017,5.51,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2018,783571,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2018,4729543,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2018,146913,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2018,5.33,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2019,740207,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2019,4529043,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2019,135978,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2019,5.44,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2020,397472,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2020,3015970,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2020,83295,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2020,4.77,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2021,323089,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2021,2583536,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2021,73511,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2021,4.4,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Boardings,2022,283241,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Miles,2022,2254573,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,Transit Revenue-Hours,2022,64268,PSRC Region,0,0,0,All
Pierce Transit,Vanpool,boardings_per_hour,2022,4.41,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2005,8815794,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2005,10138697,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2005,416876,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2005,21.15,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2006,9677654,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2006,9628193,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2006,468051,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2006,20.68,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2007,10689046,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2007,10042845,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2007,489814,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2007,21.82,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2008,12528887,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2008,10292039,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2008,504896,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2008,24.81,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2009,12896643,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2009,10836802,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2009,536226,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2009,24.05,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2010,12494547,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2010,11393321,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2010,550198,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2010,22.71,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2011,13773553,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2011,11627380,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2011,553179,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2011,24.9,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2012,15903396,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2012,11519026,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2012,549861,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2012,28.92,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2013,16600461,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2013,11591686,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2013,548158,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2013,30.28,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2014,17669833,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2014,11668550,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2014,575262,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2014,30.72,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2015,18312624,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2015,11604165,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2015,584393,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2015,31.34,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2016,18470406,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2016,11920347,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2016,610298,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2016,30.26,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2017,18374834,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2017,11999433,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2017,626347,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2017,29.34,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2018,18189263,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2018,11965363,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2018,644156,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2018,28.24,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2019,17494527,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2019,11982301,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2019,653012,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2019,26.79,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2020,6264772,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2020,10921064,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2020,559567,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2020,11.2,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2021,5146374,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2021,10401952,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2021,547714,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2021,9.4,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Boardings,2022,5090421,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Miles,2022,7463558,PSRC Region,0,0,0,All
Sound Transit,Bus,Transit Revenue-Hours,2022,376888,PSRC Region,0,0,0,All
Sound Transit,Bus,boardings_per_hour,2022,13.51,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2002,672495,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2002,286613,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2002,7293,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2002,92.21,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2003,751163,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2003,382300,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2003,9777,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2003,76.83,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2004,917195,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2004,436558,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2004,11805,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2004,77.7,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2005,1254429,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2005,527732,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2005,14042,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2005,89.33,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2006,1692971,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2006,618808,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2006,16093,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2006,105.2,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2007,2156652,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2007,737582,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2007,19279,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2007,111.87,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2008,2668623,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2008,1039432,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2008,27006,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2008,98.82,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2009,2492362,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2009,1401851,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2009,36065,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2009,69.11,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2010,2364292,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2010,1506992,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2010,38521,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2010,61.38,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2011,2543954,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2011,1498423,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2011,38589,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2011,65.92,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2012,2811891,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2012,1507758,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2012,38951,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2012,72.19,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2013,2968041,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2013,1636847,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2013,49257,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2013,60.26,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2014,3361318,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2014,1603802,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2014,50375,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2014,66.73,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2015,3851831,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2015,1783253,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2015,58760,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2015,65.55,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2016,4312113,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2016,1794741,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2016,59275,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2016,72.75,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2017,4445568,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2017,1919660,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2017,63935,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2017,69.53,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2018,4631525,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2018,2233332,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2018,75807,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2018,61.1,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2019,4612415,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2019,2242727,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2019,75641,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2019,60.98,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2020,1265882,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2020,1526737,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2020,50694,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2020,24.97,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2021,734481,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2021,1592374,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2021,52209,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2021,14.07,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Boardings,2022,946575,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Miles,2022,1559362,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,Transit Revenue-Hours,2022,51902,PSRC Region,0,0,0,All
Sound Transit,Commuter Rail,boardings_per_hour,2022,18.24,PSRC Region,0,0,0,All
Sound Transit,"Light Rail, Streetcar, & Monorail",Transit Boardings,2003,266793,PSRC Region,0,0,0,All
Sound Transit,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2003,34387,PSRC Region,0,0,0,All
Sound Transit,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2003,3467,PSRC Region,0,0,0,All
Sound Transit,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2003,76.95,PSRC Region,0,0,0,All
Sound Transit,"Light Rail, Streetcar, & Monorail",Transit Boardings,2004,794582,PSRC Region,0,0,0,All
Sound Transit,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2004,96420,PSRC Region,0,0,0,All
Sound Transit,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2004,9971,PSRC Region,0,0,0,All
